siren,siret,adresse,postcode,city
325175,32517500016,MANIHI COTE MONTAGNE TUAMOTU 98770 MANIHI,98770,MANIHI
325175,32517500024,1.0 PL LEONCE DE SEYNES 84140 AVIGNON,84140,AVIGNON
325175,32517500032,6.0 AV FRANCOIS MAURIAC 84000 AVIGNON,84000,AVIGNON
325175,32517500040,170.0 AV DU COL DE L ANGE 13420 GEMENOS,13420,GEMENOS
325175,32517500057,61.0 RUE MARX DORMOY 13004 MARSEILLE 4,13004,MARSEILLE 4
325175,32517500065,51.0 RUE MARX DORMOY 13004 MARSEILLE 4,13004,MARSEILLE 4
1807254,180725400014,15.0 RUE D INGLEMUR 54200 TOUL,54200,TOUL
1807254,180725400022,31.0 RUE D ALEMBERT 2100 SAINT-QUENTIN,2100,SAINT-QUENTIN
5410220,541022000015,RUE DE HOUDENT 80210 TOURS-EN-VIMEU,80210,TOURS-EN-VIMEU
5410345,541034500010,RTE DE DOULLENS 80100 ABBEVILLE,80100,ABBEVILLE
