siren,siret,adresse,postcode,city,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
325175,32517500016,MANIHI COTE MONTAGNE TUAMOTU 98770 MANIHI,98770,MANIHI,49.220518,6.015168,0.1998701469237833,0.19420741046831955,Rue du 6 Septembre 57860 Montois-la-Montagne,street,57481_0420,,Rue du 6 Septembre,Rue du 6 Septembre,57860,Montois-la-Montagne,"57, Moselle, Grand Est",57481,,,,ok
325175,32517500024,1.0 PL LEONCE DE SEYNES 84140 AVIGNON,84140,AVIGNON,43.934896,4.861139,0.33135112773302644,0.3178905611672278,Avenue d'Avignon Mft 84140 Avignon,street,84007_0505,,Avenue d'Avignon Mft,Avenue d'Avignon Mft,84140,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
325175,32517500032,6.0 AV FRANCOIS MAURIAC 84000 AVIGNON,84000,AVIGNON,43.932567,4.843627,0.43861083538083534,,Avenue François Mauriac 84000 Avignon,street,84007_2225,,Avenue François Mauriac,Avenue François Mauriac,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
325175,32517500040,170.0 AV DU COL DE L ANGE 13420 GEMENOS,13420,GEMENOS,43.278942,5.624576,0.4388887878787879,,Avenue du Col de l’Ange 13420 Gémenos,street,13042_0096,,Avenue du Col de l’Ange,Avenue du Col de l’Ange,13420,Gémenos,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13042,,,,ok
325175,32517500057,61.0 RUE MARX DORMOY 13004 MARSEILLE 4,13004,MARSEILLE 4,43.300946,5.396319,0.43164764127764127,,Rue marx dormoy 13004 Marseille,street,13204_5859,,Rue marx dormoy,Rue marx dormoy,13004,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13204,,,Marseille 4e Arrondissement,ok
325175,32517500065,51.0 RUE MARX DORMOY 13004 MARSEILLE 4,13004,MARSEILLE 4,43.300946,5.396319,0.43164764127764127,,Rue marx dormoy 13004 Marseille,street,13204_5859,,Rue marx dormoy,Rue marx dormoy,13004,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13204,,,Marseille 4e Arrondissement,ok
1807254,180725400014,15.0 RUE D INGLEMUR 54200 TOUL,54200,TOUL,48.674712,5.892677,0.40977874813710874,,Rue d'Inglemur 54200 Toul,street,54528_0700,,Rue d'Inglemur,Rue d'Inglemur,54200,Toul,"54, Meurthe-et-Moselle, Grand Est",54528,,,,ok
1807254,180725400022,31.0 RUE D ALEMBERT 2100 SAINT-QUENTIN,2100,SAINT-QUENTIN,49.86372,3.297904,0.44981220779220776,0.2951554932301741,Rue d'Alembert 02100 Saint-Quentin,street,02691_0115,,Rue d'Alembert,Rue d'Alembert,02100,Saint-Quentin,"02, Aisne, Hauts-de-France",02691,,,,ok
5410220,541022000015,RUE DE HOUDENT 80210 TOURS-EN-VIMEU,80210,TOURS-EN-VIMEU,50.050781,1.688378,0.43164251402918064,0.4171078787878788,Rue de Bas a Houdent 80210 Tours-en-Vimeu,street,80765_0060,,Rue de Bas a Houdent,Rue de Bas a Houdent,80210,Tours-en-Vimeu,"80, Somme, Hauts-de-France",80765,,,,ok
5410345,541034500010,RTE DE DOULLENS 80100 ABBEVILLE,80100,ABBEVILLE,50.106715,1.846773,0.4749944155844155,,10 Route de Doullens 80100 Abbeville,housenumber,80001_0620_00010,10,10 Route de Doullens,Route de Doullens,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
